#"Web Search Volume: a kasse vs. skilsmisse"		
#"Worldwide"	" 2004 - present"	
#
#
# q=14.1934478045447
# m=0.342367162139074
# y=0.34236*x+14.19345
# r=0.162793021854728
# rms=3.27319191511854
# n=194
# t=2.28622395534234
# P<0.05
#		
#"Interest over time"		
#"week"	"a kasse"	"skilsmisse"
"2008-07-06 - 2008-07-12"	7	14
"2008-07-13 - 2008-07-19"	6	13
"2008-07-20 - 2008-07-26"	3	11
"2008-07-27 - 2008-08-02"	5	14
"2008-08-03 - 2008-08-09"	7	16
"2008-08-10 - 2008-08-16"	3	17
"2008-08-17 - 2008-08-23"	4	17
"2008-08-24 - 2008-08-30"	6	16
"2008-08-31 - 2008-09-06"	5	14
"2008-09-07 - 2008-09-13"	6	19
"2008-09-14 - 2008-09-20"	4	17
"2008-09-21 - 2008-09-27"	6	17
"2008-09-28 - 2008-10-04"	8	15
"2008-10-05 - 2008-10-11"	4	10
"2008-10-12 - 2008-10-18"	5	15
"2008-10-19 - 2008-10-25"	5	12
"2008-10-26 - 2008-11-01"	5	14
"2008-11-02 - 2008-11-08"	4	13
"2008-11-09 - 2008-11-15"	6	15
"2008-11-16 - 2008-11-22"	5	16
"2008-11-23 - 2008-11-29"	8	12
"2008-11-30 - 2008-12-06"	5	17
"2008-12-07 - 2008-12-13"	6	15
"2008-12-14 - 2008-12-20"	4	15
"2008-12-21 - 2008-12-27"	2	12
"2008-12-28 - 2009-01-03"	6	11
"2009-01-04 - 2009-01-10"	8	21
"2009-01-11 - 2009-01-17"	7	23
"2009-01-18 - 2009-01-24"	8	20
"2009-01-25 - 2009-01-31"	10	19
"2009-02-01 - 2009-02-07"	9	15
"2009-02-08 - 2009-02-14"	9	14
"2009-02-15 - 2009-02-21"	10	19
"2009-02-22 - 2009-02-28"	7	18
"2009-03-01 - 2009-03-07"	8	17
"2009-03-08 - 2009-03-14"	6	16
"2009-03-15 - 2009-03-21"	5	17
"2009-03-22 - 2009-03-28"	6	16
