not:UMUCOURSE	The local course directory <http://info.adm.umu.se/utbkat/>
not:USMARC			USMARC Bibliographic Format <gopher://marvel.loc.gov:70/0waisdocid%3A/.waissrc/usmarc-d.src%3ATEXT%3A9759%3A3%3D0%20-9759%20/prod/gopher/data/.listarch/usmarc/94-4.doc%3B7%3D%2500%3B>
not:Unesco	Unesco Regional Web Index <http://nwi.dtv.dk/UNESCO/>
not:VCARD		vCard MIME Directory Profile [Internet Draft] <http://ds.internic.net/internet-drafts/draft-ietf-asid-mime-vcard-04.txt>
not:NWIii	Anders Ardö, Allan Arvidsson, Sebastian Hammer, Kenneth Holmlund and Sigfrid Lundberg, 1998. NWI II, An Enhanced Nordic Web index: Final report <http://www.nordinfo.helsinki.fi/publications/nordnytt/nnytt3-4_98/nwi_final_report.htm>
not:aaperiod		Styles and Periods hierarchy (Click on "Styles and Periods") <http://www.ahip.getty.edu/aat_browser/titles.html>
not:aathesaurus			The Art & Architecture Thesaurus Browser <http://www.gii.getty.edu/aat_browser/>
not:ariadne		ARIADNE Metadata Recommendation Page <http://ariadne.unil.ch/metadata.htm>
not:asf			Advanced search facility <http://asf.gils.net/>
not:beyondbookmarks	Beyond Bookmarks: Schemes for Organizing the Web <http://www.public.iastate.edu/~CYBERSTACKS/CTW.htm>
not:borgman1995		Borgman, C.  L., S. G. Hirsch and V. A. Walter, "Children's searching behavior on browsing and keyword online catalogs: The science library catalog project," Journal of the American Society for Information Science, 46, pp. 663-684 (1995). <>
not:canberra		The 4th Dublin Core Metadata Workshop Report <http://www.dlib.org/dlib/june97/metadata/06weibel.html>
not:client		Indexdata, The YAZ tool kit. <http://www.indexdata.dk/yaz/>
not:combine		The Combine Harvesting Robot <http://www.lub.lu.se/combine/>
not:PERL		Practical Extraction and Report Language <http://www.perl.com/pub/doc/manual/html/pod/perl.html>
not:cpan		CPAN: Comprehensive Perl Archive Network. <http://www.cpan.org/>
not:perlre		perlre - Perl regular expressions <http://www.perl.com/pub/doc/manual/html/pod/perlre.html>
not:expat		Expat XML Parser <http://expat.sourceforge.net/>
not:ddc			DDC 21 Summaries <http://www.oclc.org/oclc/fp/about/ddc21sm1.htm>
not:ddchome		Dewey Decimal System Home Page <http://www.oclc.org/oclc/fp/>
not:ddd			About the Dewey Decimal Classification <http://www.oclc.org/oclc/fp/about/ddc21sm1.htm>
not:desire		Development of a European Service for Information on Research and Education. <http://www.lub.lu.se/desire/>
not:desireD3.2		Specification for resource description methods Part 3. The role of classification schemes in Internet resource description and discovery. <http://www.ub.lu.se/desire/radar/reports/D3.2.3/> 
not:desireclass		Types of classification systems <http://www.ub.lu.se/desire/radar/reports/D3.2.3/f_1.html#_3_1>
not:desireddc		Extent of Internet services using DDC <http://www.ub.lu.se/desire/radar/reports/D3.2.3/f_2.html#_1_1>
not:desireeunart2	The DESIRE project has developed a model (A list of quality selection criteria: a reference tool for Internet subject gateways) for quality assessment generally for academic use, which is designed to be used by subject based information gateways to define or refine their own quality selection criteria. The criteria are organized into five main categories. Three with respect to the resource and two with respect to the collection. The main categories are further subdivided into detailed lists with questions and practical hints and tips to be used in the evaluation and selection process. <http://www.ukoln.ac.uk/metadata/desire/quality/report-2.html>  
not:desirequality	A list of quality selection criteria: a reference tool for Internet subject gateways. <http://www.ukoln.ac.uk/metadata/desire/quality/report-2.html>
not:desiresab		Sveriges Allmänna Biblioteksförening (SAB) Classification System <http://www.ub.lu.se/desire/radar/reports/D3.2.3/f_2.html#_4_2>
not:desireudc		Extent of Internet services using UDC <http://www.ub.lu.se/desire/radar/reports/D3.2.3/f_2.html#_2_1>
not:dublincore		Dublin Core Element Set Reference Page <http://purl.oclc.org/metadata/dublin_core/>
not:dublincore4		The 4th Dublin Core Metadata Workshop <http://www.dstc.edu.au/DC4/>
not:dublincoreRFC	Dublin Core Workshop Series, S. Weibel, Internet-Draft <http://search.ietf.org/internet-drafts/draft-kunze-dc-02.txt>
not:dublincoredate	Date Ranges and DC.Date Subelement Definitions <http://purl.oclc.org/metadata/dublin_core/wdatedraft.html>
not:dublincorerel	Relations Working Group <http://purl.oclc.org/metadata/dublin_core/wrelationdraft.html>
not:dublincorestruct	Dublin Core Resource Types, Structuralist DRAFT <http://sunsite.berkeley.edu/Metadata/structuralist.html>
not:dublincoresubel	Provisional report of the Dublin Core Subelement Working Group <http://purl.oclc.org/metadata/dublin_core/wsubelementdraft.html>
not:dvt			Desire Vocabulary Toolkit <http://www.lub.lu.se/combine/dvt>
not:educasource		Educasource <http://www.educasource.education.fr/>
not:eltmeta		The European Link Treasury - On Metadata <http://www.lub.lu.se/~gertrud/euc/task2/pres/onmetadata.html>
not:eltpackage		The ELT software tool kit distribution <http://www.lub.lu.se/~siglun/elt-0.9.tar.gz>
not:eltpres		The European Link Treasury (ELT) <http://mother.lub.lu.se/ELT/about/eun_article2.html.en>
not:eltprototype	The European Link Treasury - Prototype <http://mother.lub.lu.se/ELT/>
not:eltqcriteria	The European Link Treasury - Quality assessments <http://www.lub.lu.se/~gertrud/euc/task2/pres/quality.html>
not:euc			The EUC Web Based Reporting System (Please use "eun" both as user identity and password.) <http://193.10.55.30/>	
not:euc111theset	The EUC metadata set <http://www.lub.lu.se/EUC/T1/111.html#2.>
not:eucart		The goal of EUC is to establish Internet based services, demonstrating the value of using multimedia and Information and Communication Technologies (ICT) in education. For further information on the EUC project please refer to <http://www.medianet.org/euc/>
not:eucprecent		European Universal Classform <http://www.medianet.org/euc/>
not:euctool		The EUC metadata tool <http://www.lub.lu.se/dc/euc.pl>
not:france		Centre Règional de Documentation Pèdagogique de Bretagne (The French partner) <http://www.ac-rennes.fr/crdp/>
not:gils		Application profile for the government information locator service (GILS) <http://www.gils.net/prof_v2.html>
not:gilssoftware	GILS products and services <http://www.gils.net/software.html>
not:zthes		Zthes: a Z39.50 Profile for Thesaurus Navigation <http://lcweb.loc.gov/z3950/agency/profiles/zthes-04.html>
not:head		HTML Elements List:HEAD, Sandia National Laboratories <http://www.sandia.gov/sci_compute/elements.html#HEAD>
not:identifier		Nordic Metadata Project, Resource Identifier <http://www.sics.se/~preben/DC/identifier_help.html>
not:indexdata		Welcome to Indexdata <http://www.indexdata.dk>
not:iso3166		ISO 3166 <http://userpage.chemie.fu-berlin.de/diverse/doc/ISO_3166.html>
not:iso639		ISO 639 <http://www.ics.uci.edu/pub/ietf/http/related/iso639.txt>
not:iso8601		ISO 8601 <http://www.w3.org/TR/NOTE-datetime>
not:ispo		The EC Information Society Project Office <http://www.ispo.cec.be/>
not:lank		The Swedish Link Larder (Länkskafferiet): <http://lankskafferiet.skolverket.se>
not:lankbienvenida	Translated version (in Spanish) of the welcome page for the editors in the Swedish Link Larder <http://www.lub.lu.se/~gertrud/euc/lank/formular1.html>
not:lankbienvenue	Translated version (in French) of the welcome page for the editors in the Swedish Link Larder <http://www.lub.lu.se/~gertrud/euc/lank/editoriales.html>
not:lankdelete		A model for a help application to delete records in the ELT database <http://www.lub.lu.se/~gertrud/euc/lank/delete_record.html>
not:lankvalkommen	A model (in Swedish) for the welcome page for the editors  <http://www.lub.lu.se/~gertrud/euc/lank/redak.html>
not:lankwelcome		Translated version (in English) of the welcome page for the editors in the Swedish Link Larder <http://www.lub.lu.se/~gertrud/euc/lank/editors.html>
not:linnea		The 5th Dublin Core Metadata Workshop. Project presentations <http://linnea.helsinki.fi/meta/projects.html>
not:linneaDBSGER	The 5th Dublin Core Metadata Workshop. Project presentations: DBS(GER) <http://linnea.helsinki.fi/meta/projects.html#30>
not:linneaEdNA		The 5th Dublin Core Metadata Workshop. Project presentations: EdNA <http://linnea.helsinki.fi/meta/projects.html#26>
not:linneaGEM		The 5th Dublin Core Metadata Workshop. Project presentations: GEM <http://linnea.helsinki.fi/meta/projects.html#30>
not:location		IMS, Location <http://www.imsproject.org/textdictionary.html#Location>
not:minimalist		The DC Minimalist Approach <http://sunsite.berkeley.edu/Metadata/minimalist.html>
not:nizo		NISO Z39.53 Language Codes <http://www.sil.org/sgml/nisoLang3-1994.html>
not:ead			Encoded Archival Description (EAD) <http://lcweb.loc.gov/ead/>
